Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Civil Engineering (4 years),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)",80%,Co-op option available with this program,195										Maximum enrollment in all the Civil Engineering disciplines,English
Civil Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",Mid 80s,Co-op option available with this program,160										142,English
Civil Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",Mid- to High 80s,Co-op program,115,English
Civil Engineering and Computing Technology (5-year double degree),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)",80%,Co-op option available with this program,195										Maximum enrollment in all the Civil Engineering disciplines,English
Classical Studies / Classics (BA),York University,"Bachelor of Arts, BA",Mid-70s,Not Available,25										Open,English
Classics,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,618										(total for all Humanities programs),English
Climate Change Science & Policy,Trent University,"Bachelor of Science, BSc",75-80%,Practicum or internship option available,200,English
Climate and Environmental Change (Regular/Co-op),University of Waterloo,"Bachelor of Science, BSc",Low 80s,Co-op option available with this program,30,English
Cognitive Science (BA),York University,"Bachelor of Arts, BA",Mid-70s,Co-op or internship option available,75										Open,English
Cognitive Science – Honours (regular and co-op),Carleton University,"Bachelor of Cognitive Science, BCogSc",75-77%,Co-op option available with this program,120										(total in program),English
Cognitive Science – Non-Honours,Carleton University,"Bachelor of Cognitive Science, BCogSc",73–76%,Not Available,120										(total in program),English
Commerce,Ontario Tech University,"Bachelor of Commerce, BCom",Low 70s,Co-op or internship option available,500,English
Commerce,Queen's University,"Bachelor of Commerce, BCom",87%+,Not Available,580,English
Commerce (BCom),York University,"Bachelor of Commerce, BCom",Low 80s,Co-op or internship option available,600										Open,English
Commerce (Co-op),Ontario Tech University,"Bachelor of Commerce (Co-op), BCom (Co-op)",Low 70s,Co-op program,500,English
"Commerce (Including Accounting, Economics, Finance, Marketing)",University of Toronto Mississauga,"Bachelor of Arts, BA
Bachelor of Commerce, BCom
Bachelor of Science, BSc",Mid 80s,Co-op or internship application available at the university after registration,500,English
Commerce (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce - Accounting (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,148										The number of students enrolled in all the Accounting disciplines last year,English
Commerce - Accounting (co-op and regular),University of Guelph,"Bachelor of Commerce, BComm",80 to 86%,Co-op option available with this program,N/A,English
Commerce - Food and Agricultural Business (co-op and regular),University of Guelph,"Bachelor of Commerce, BCom",80 to 86%,Co-op option available with this program,N/A,English
"Commerce - Government, Economics and Management ( co-op and regular)",University of Guelph,"Bachelor of Commerce, BCom",80-86%,Co-op option available with this program,N/A,English
Commerce - Management (co-op and regular),University of Guelph,"Bachelor of Commerce, BCom",80 to 86%,Co-op option available with this program,N/A,English
Commerce - Management Economics and Finance (co-op and regular),University of Guelph,"Bachelor of Commerce, BCom",80 to 86%,Co-op option available with this program,N/A,English
Commerce - Marketing Management (co-op and regular),University of Guelph,"Bachelor of Commerce, BCom",80 to 86%,Co-op option available with this program,N/A,English
Commerce - Real Estate (co-op and regular),University of Guelph,"Bachelor of Commerce, BCom",80 to 86%,Co-op option available with this program,N/A,English
Commerce - Sport and Event Management Commerce (co-op and regular),University of Guelph,"Bachelor of Commerce, BComm",80 to 86%,Not Available,N/A,English
Commerce and Juris Doctor (6-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom",85%,Practicum or internship option available,14										The number of students enrolled in all the Commerce and Juris Doctor discipline last year,English
Commerce – Accounting (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – Business Technology Management (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,108										The number of students enrolled in all the Business Technology Management disciplines last year,English
Commerce – Entrepreneurship (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – Finance (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,226										The number of students enrolled in all the Finance disciplines last year,English
Commerce – Finance (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – Healthcare Analytics (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,10										The number of students enrolled in all the Healthcare Analytics disciplines last year,English
Commerce – Human Resource Management (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,27										The number of students enrolled in all the Human Resource Management disciplines last year,English
Commerce – Information Systems (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – International Business (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – International Management (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,83										The number of students enrolled in all the International Management disciplines last year,English
Commerce – Management (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,74										The number of students enrolled in all the Management disciplines last year,English
Commerce – Management (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – Marketing (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Commerce, BCom
Bachelor of Commerce (Co-op), BCom (Co-op)",80%,Co-op option available with this program,102										The number of students enrolled in all the Marketing disciplines last year,English
Commerce – Marketing (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce – Supply Chain Management (regular and co-op),Carleton University,"Bachelor of Commerce, BCom",80% (regular and co-op),Co-op option available with this program,400										(total for all Commerce programs),English
Commerce — Accounting (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,148										The number of students enrolled in all the Accounting disciplines last year,English
Commerce — Business Technology Management  (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,108										The number of students enrolled in all the Business Technology Management disciplines last year,English
Commerce — Finance (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,226										The number of students enrolled in all the Finance disciplines last year,English
Commerce — Healthcare Analytics (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,10										The number of students enrolled in all the Healthcare Analytics disciplines last year,English
Commerce — Human Resources (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,27										The number of students enrolled in all the Human Resources disciplines last year,English
Commerce — International Management (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,83										The number of students enrolled in all the International Management disciplines last year,English
Commerce — Management (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,74										The number of students enrolled in all the Management disciplines last year,English
Commerce — Marketing (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts/Master of Science, BA/MSc
Bachelor of Commerce, BCom",85%,Class-based experiential education,102										The number of students enrolled in all the Marketing disciplines last year,English
Commercial Aviation Leadership,University of Windsor,"Bachelor of Arts, BA",70-84%,Practicum or internship option available,N/A,English
"Communication & Media Studies (BA, iBA)",York University,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid-70s,Co-op available by major,125										Open,English
Communication (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75%; co-op 80%,Co-op option available with this program,159										The number of students enrolled in all the Communication disciplines last year,English
Communication Studies (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Low 80s,Co-op or internship application available at the university after registration,"4,432										(all Faculty of Arts programs combined)",English
Communication and Digital Media Studies,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,500,English
Communication and Digital Media Studies (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Communication and Media Studies,Carleton University,"Bachelor of Communication and Media Studies, BCoMS",75-77%,Co-op option available with this program,200,English
Communication and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75%; co-op 80%,Co-op option available with this program,159										The number of students enrolled in all the Communication disciplines last year,English
Communication and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75%; co-op 80%,Co-op option available with this program,159										The number of students enrolled in all the Communication disciplines last year,English
Communication and Sociology (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75%; co-op 80%,Co-op option available with this program,159										The number of students enrolled in all the Communication disciplines last year,English
Communication and Sociology (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75%; co-op 80%,Co-op option available with this program,159										The number of students enrolled in all the Communication disciplines last year,English
"Communication, Culture, Information & Technology",University of Toronto Mississauga,"Bachelor of Arts, BA
Bachelor of Science, BSc
Certificate, Cert",Mid to high 70s,Co-op or internship application available at the university after registration,275,English
"Communication, Media and Film",University of Windsor,"Bachelor of Arts, BA",70-85%,Co-op option available with this program,N/A,English
"Communication, Media and Film with Cooperative Education",University of Windsor,"Bachelor of Arts, BA",N/A,Co-op program,10,English
"Communication, Social Media & Public Relations (BA)",York University – Markham Campus,"Bachelor of Arts, BA",Mid-70s,Co-op or internship option available,40,English
Communications,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Communications (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70's,Practicum or internship option available,400										(total for all programs),English & French
Communications (Honours Arts) - Co-Op,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",N/A,Co-op program,50,English
Community Development (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Practicum or internship option available,This is an open enrollment program. First-year admissions are not capped.,English
Community Economic & Social Development (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Practicum or internship option available,This is an open enrollment program. First-year admissions are not capped.,English
Community Economic and Social Development (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Practicum or internship option available,This is an open enrollment program. First-year admissions are not capped.,English
Community Health,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,817										(total all Applied Health Sciences programs),English
Comprehensive Engineering,Ontario Tech University,"Bachelor of Engineering, BEng
Bachelor of Engineering and Management, BEng&Mgt",Mid-70s,Not Available,500,English
Computer Engineering,University of Toronto,"Bachelor of Applied Science, BASc",High 80s,Co-op or internship option available,N/A,English
Computer Engineering (4 years),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)",+/- 85%,Co-op option available with this program,167										Maximum enrollment in Computer Engineering,English
Computer Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",High 80s,Co-op option available with this program,260,English
Computer Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",High 80s to low 90s,Co-op program,235,English
Computer Engineering (co-op and regular),University of Guelph,"Bachelor of Engineering, BEng",84 to 89%,Co-op option available with this program,N/A,English
Computer Engineering - Direct Entry,Queen's University,"Bachelor of Applied Science, BASc",Low 90s,Co-op or internship option available,40,English
Computer Science,University of Windsor,"Bachelor of Commerce, BComm
Bachelor of Computer Science, BCS
Bachelor of Information Technology, BIT
Bachelor of Science, BSc",70-86%,Co-op option available with this program,No limit,English
Computer Science,Laurentian University,"Bachelor of Computer Science, BCoSc",70%,Co-op or internship application available at the university after registration,Open,English
Computer Science,Brock University,"Bachelor of Science, BSc",High 70s,Co-op or internship option available,516										(total for all Mathematics and Science programs),English
Computer Science,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 80s,Co-op option available with this program,140,English
Computer Science,Western University,"Bachelor of Science, BSc",Mid to high 80s,Co-op or internship application available at the university after registration,300,English
Computer Science,University of Toronto,"Bachelor of Science, BSc",Low 90s,Practicum or internship option available,N/A,English
Computer Science (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 94%,Co-op option available with this program,223										Maximum enrollment in all the Computer Science disciplines,English
Computer Science (BA in combination),Wilfrid Laurier University,"Bachelor of Arts, BA",High-70s,Class-based experiential education,"7,863										(all Faculty of Science programs combined)",English
Computer Science (BA in combination),Wilfrid Laurier University – Milton Campus,"Bachelor of Arts, BA",High-70s,Co-op program,"7,811										(all Faculty of Science programs combined)",English
Computer Science (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Low 80s,Co-op available by major,"7,863										(all Faculty of Science programs combined)",English
Computer Science (BA),York University,"Bachelor of Arts, BA",High 80s,Co-op or internship option available,100										Open,English
Computer Science (BCOSC 3 year),Algoma University,"Bachelor of Computer Science, BCoSc",65%+,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Computer Science (BCOSC 4 year),Algoma University,"Bachelor of Computer Science, BCoSc",65%+,Co-op option available with this program,Open,English
Computer Science (BSc 3 year),Algoma University,"Bachelor of Science, BSc",65%+,Co-op option available with this program,Open,English
Computer Science (BSc 4 year),Algoma University,"Bachelor of Science, BSc",65%+,Co-op option available with this program,Open,English
Computer Science (BSc),Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Computer Science (BSc),York University,"Bachelor of Science, BSc",HIgh 80s,Co-op option available with this program,200										Open,English
Computer Science (BSc),Wilfrid Laurier University – Milton Campus,"Bachelor of Science, BSc",High-70s,Co-op or internship application available at the university after registration,"7,811										(all Faculty of Science programs combined)",English
Computer Science (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",High-70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Computer Science (BSc),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Computer Science (Brampton) (BCOSC 3 year),Algoma University,"Bachelor of Computer Science, BCoSc",65%+,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Computer Science (Brampton) (BCOSC 4 year),Algoma University,"Bachelor of Computer Science, BCoSc",65%+,Co-op option available with this program,Open,English
Computer Science (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 80s,Co-op program,140,English
Computer Science (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Science, BSc",High 80s,Co-op available by application after first year of studies,500,English
Computer Science (Regular/Co-op),University of Waterloo,"Bachelor of Computer Science, BCS
Bachelor of Mathematics, BMath",Low to Mid-90s,Co-op option available with this program,325,English
Computer Science (co-op and regular),University of Guelph,"Bachelor of Computing, BComp",87 to 91%,Co-op option available with this program,N/A,English
Computer Science (co-op available) (Thunder Bay and Lakehead/Georgian),Lakehead University,"Bachelor of Science, BSc",70%,Co-op or internship option available,Open Enrollment,English
Computer Science (iBA),York University,"International Bachelor of Arts, iBA",High 80s,Co-op option available with this program,25										Open,English
Computer Science (iBSc),York University,"International Bachelor of Science, iBSc",High 80s,Co-op option available with this program,25										Open,English
Computer Science (regular and co-op),University of Toronto Scarborough,"Bachelor of Science, BSc",Mid-90s (regular); high 90s (co-op),Co-op option available with this program,165,English
Computer Science Co-op I,McMaster University,"Bachelor of Applied Science, BASc",A minimum of 90% is required for consideration. Admission is by selection.,Co-op program,200										(total for OUAC codes MC and MCC),English
Computer Science I,McMaster University,"Bachelor of Applied Science, BASc",A minimum of 90% is required for consideration. Admission is by selection.,Co-op or internship application available at the university after registration,200										(total for OUAC codes MC and MCC),English
Computer Science and Forensics,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Computer Science and Mathematics (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 94%,Co-op option available with this program,223										Maximum enrollment in all the Computer Science disciplines,English
Computer Science and Mathematics Co-op Only,Brock University,"Bachelor of Science, BSc",Mid-70s,Co-op program,516										(total for all Mathematics and Science programs),English
Computer Science and Physics,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Computer Science and Physics (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid-80s,Co-op option available with this program,"7,863										(all Faculty of Science programs combined)",English
Computer Science and Psychology (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",High 70s,Not Available,"7,863										(all Faculty of Science programs combined)",English
Computer Science for Software Development (BASc),York University – Markham Campus,"Bachelor of Arts and Sciences, BASc",High 80s to low 90s,Co-op option available with this program,100,English
Computer Science – Co-op,Trent University,"Bachelor of Science, BSc",80% minimum,Co-op program,12,English
Computer Science – Computer Games Technology (BCOSC 4 year),Algoma University,"Bachelor of Computer Science, BCoSc",65%+,Co-op option available with this program,Open,English
Computer Science – Computer Games Technology/Creative Arts (BCOSC 4 year),Algoma University,"Bachelor of Computer Science, BCoSc",65%+,Co-op option available with this program,Open,English
Computer Science – Game Design,Laurentian University,"Bachelor of Computer Science, BCoSc",70%,Class-based experiential education,Open,English
Computer Science – Honours (regular and co-op),Carleton University,"Bachelor of Computer Science, BCS",85-88% (regular and co-op),Co-op option available with this program,475										(total for all Computer Science programs),English
"Computer Science, Mathematics and Statistics",University of Toronto Mississauga,"Bachelor of Science, BSc",High 80s,Co-op or internship application available at the university after registration,500,English
Computer Security (BA),York University,"Bachelor of Arts, BA",High 80s,Co-op option available with this program,40										Open,English
Computer Security (BSc),York University,"Bachelor of Science, BSc",High 80s,Co-op option available with this program,20										Open,English
Computing,Queen's University,"Bachelor of Computing, BCmp",Mid 80s,Co-op or internship option available,350,English
Computing Systems (BA),Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Computing Systems and Business,Trent University,"Bachelor of Arts, BA",Minimum 70%,Practicum or internship option available,200,English
Computing Systems and Economics,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Computing Systems and Media Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200										1600,English
Computing and Business,Brock University,"Bachelor of Science, BSc",High 70s,Co-op or internship option available,516										(total for all Mathematics and Science programs),English
Computing and Financial Management (Co-op Only),University of Waterloo,"Bachelor of Computing and Financial Management, BCFM",Low to Mid-90s,Co-op program,45,English
Conception multidisciplinaire - apprentissage expérientiel (3 ans),University of Ottawa,"Bachelor of Design, BDes",75%,Practicum or internship option available,50										Maximum enrollment in Conception multidisciplinaire- apprentissage expérientiel,English & French
Concurrent BA Child and Youth Studies Honours/BEd – Primary/Junior,Brock University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education Programs),English
Concurrent BA Honours/BEd – Intermediate/Senior,Brock University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,325										(total all Concurrent Education programs),English
Concurrent BA Integrated Studies Honours/BEd - Junior/Intermediate,Brock University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,325										(total all Concurrent Education programs),English
Concurrent BA in Educational Studies Honours/BEd Junior/​Intermediate,Brock University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education Programs),English
Concurrent BA in Interactive Arts and Science/BEd - Junior/Intermediate,Brock University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education Programs),English
Concurrent BPhEd Honours/BEd - Junior/Intermediate,Brock University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education Programs),English
Concurrent BPhEd Honours/BEd – Intermediate/Senior,Brock University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education programs),English
Concurrent BRLS Honours in Recreation and Leisure Studies/BEd - Junior/​Intermediate,Brock University,"Bachelor of Arts/Bachelor of Education, BA/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education Programs),English
Concurrent BSc Honours/BEd – Intermediate/Senior,Brock University,"Bachelor of Science/Bachelor of Education, BSc/BEd",High 80s,Practicum or internship option available,325										(total for all Concurrent Education programs),English
Concurrent BSc Integrated Studies/BEd - Junior/Intermediate,Brock University,"Bachelor of Science/Bachelor of Education, BSc/BEd",High 80s,Practicum or internship option available,365										(total for all Concurrent Education programs),English
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Intermediate/Senior,Nipissing University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Junior/Intermediate,Nipissing University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Primary/Junior,Nipissing University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Arts/Bachelor of Education Intermediate/Senior,Nipissing University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Arts/Bachelor of Education Junior/Intermediate,Nipissing University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Arts/Bachelor of Education Primary/Junior,Nipissing University,"Bachelor of Arts/Bachelor of Education, BA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Business Administration/Bachelor of Education Intermediate/Senior,Nipissing University,"Bachelor of Business Administration/Bachelor of Education, BBA/BEd",70%,Co-op available by application after first year of studies,Open enrollment,English
Concurrent Bachelor of Business Administration/Bachelor of Education Junior/Intermediate,Nipissing University,"Bachelor of Business Administration/Bachelor of Education, BBA/BEd",70%,Co-op available by application after first year of studies,Open enrollment,English
Concurrent Bachelor of Business Administration/Bachelor of Education Primary/Junior,Nipissing University,"Bachelor of Business Administration/Bachelor of Education, BBA/BEd",70%,Co-op available by application after first year of studies,Open enrollment,English
Concurrent Bachelor of Education (English),York University – Glendon Campus,"Bachelor of Arts/Bachelor of Education, BA/BEd
International Bachelor of Arts/Bachelor of Education, iBA/BEd",80% and above,Practicum or internship option available,50,English & French
Concurrent Bachelor of Education (French),York University – Glendon Campus,"Bachelor of Arts/Bachelor of Education, BA/BEd
International Bachelor of Arts/Bachelor of Education, iBA/BEd",Low 80s,Practicum or internship option available,50,English & French
Concurrent Bachelor of Education: Environmental and Urban Change (BEd),York University,"Bachelor of Environmental Studies/Bachelor of Education, BES/BEd",High 70s to mid-80s,Class-based experiential education,Open,English
Concurrent Bachelor of Fine Arts/Bachelor of Education Intermediate/Senior,Nipissing University,"Bachelor of Fine Arts/Bachelor of Education, BFA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Fine Arts/Bachelor of Education Junior/Intermediate,Nipissing University,"Bachelor of Fine Arts/Bachelor of Education, BFA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Fine Arts/Bachelor of Education Primary/Junior,Nipissing University,"Bachelor of Fine Arts/Bachelor of Education, BFA/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Intermediate/Senior,Nipissing University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd","70% – This is a highly competitive, limited-enrollment program. The actual admission average may be higher.",Practicum or internship option available,120 students maximum in BPHE (combined Concurrent and non-Concurrent Education),English
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Junior/Intermediate,Nipissing University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd","70% – This is a highly competitive, limited-enrollment program. The actual admission average may be higher.",Practicum or internship option available,120 students maximum in BPHE (combined Concurrent and non-Concurrent Education),English
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Primary/Junior,Nipissing University,"Bachelor of Physical Education/Bachelor of Education, BPHE/BEd","70% – This is a highly competitive, limited-enrollment program. The actual admission average may be higher.",Practicum or internship option available,120 students maximum in BPHE (combined Concurrent and non-Concurrent Education),English
Concurrent Bachelor of Science/Bachelor of Education Intermediate/Senior,Nipissing University,"Bachelor of Science/Bachelor of Education, BSc/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Science/Bachelor of Education Junior/Intermediate,Nipissing University,"Bachelor of Science/Bachelor of Education, BSc/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Bachelor of Science/Bachelor of Education Primary/Junior,Nipissing University,"Bachelor of Science/Bachelor of Education, BSc/BEd",70%,Practicum or internship option available,Open enrollment,English
Concurrent Education (Intermediate/Senior – Teach Grades 7 to 12) (Thunder Bay),Lakehead University,"Bachelor of Arts and Science/Bachelor of Education, BASc/BEd
Bachelor of Arts/Bachelor of Education, BA/BEd
Bachelor of Environmental Science/Bachelor of Education, BESc/BEd
Bachelor of Environmental Studies/Bachelor of Education, BES/BEd
Bachelor of Fine Arts/Bachelor of Education, BFA/BEd
Bachelor of Kinesiology/Bachelor of Education, BK/BEd
Bachelor of Outdoor Recreation/Bachelor of Education, BOR/BEd
Bachelor of Science/Bachelor of Education, BSc/BEd",70%,Practicum or internship option available,Open Enrollment,English
