Program Name,University Name,Program Link
Commerce – Information Systems (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/ccj
Commerce – International Business (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/cca
Commerce – International Management (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ots
Commerce – Management (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/otu
Commerce – Management (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/cch
Commerce – Marketing (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/otw
Commerce – Marketing (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/ccm
Commerce – Supply Chain Management (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/ccs
Commerce — Accounting (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oce
Commerce — Business Technology Management  (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocj
Commerce — Finance (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oci
Commerce — Healthcare Analytics (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocd
Commerce — Human Resources (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocr
Commerce — International Management (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocv
Commerce — Management (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocs
Commerce — Marketing (BCom) and Master of Science in Management (Research Project) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oct
Commercial Aviation Leadership,University of Windsor,https://www.ouinfo.ca/programs/windsor/nqa
"Communication & Media Studies (BA, iBA)",York University,https://www.ouinfo.ca/programs/york/yff
Communication (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ov
Communication Studies (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ukl
Communication and Digital Media Studies,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/ddc
Communication and Digital Media Studies (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dde
Communication and Media Studies,Carleton University,https://www.ouinfo.ca/programs/carleton/ccr
Communication and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ovy
Communication and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxs
Communication and Sociology (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ovz
Communication and Sociology (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxt
"Communication, Culture, Information & Technology",University of Toronto Mississauga,https://www.ouinfo.ca/programs/toronto-mississauga/tmc
"Communication, Media and Film",University of Windsor,https://www.ouinfo.ca/programs/windsor/nkm
"Communication, Media and Film with Cooperative Education",University of Windsor,https://www.ouinfo.ca/programs/windsor/nac
"Communication, Social Media & Public Relations (BA)",York University – Markham Campus,https://www.ouinfo.ca/programs/york-markham/ymd
Communications,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/roc
Communications (Courses in English or French as per student's preference),York University – Glendon Campus,https://www.ouinfo.ca/programs/york-glendon/yyt
Communications (Honours Arts) - Co-Op,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rol
Community Development (BA 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jac
Community Economic & Social Development (BA 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jad
Community Economic and Social Development (BA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jba
Community Health,Brock University,https://www.ouinfo.ca/programs/brock/bah
Comprehensive Engineering,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/deu
Computer Engineering,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/tcs
Computer Engineering (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/obe
Computer Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sce
Computer Engineering (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wwj
Computer Engineering (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbl
Computer Engineering - Direct Entry,Queen's University,https://www.ouinfo.ca/programs/queens/qec
Computer Science,University of Windsor,https://www.ouinfo.ca/programs/windsor/nt
Computer Science,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lcs
Computer Science,Brock University,https://www.ouinfo.ca/programs/brock/bg
Computer Science,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsd
Computer Science,Western University,https://www.ouinfo.ca/programs/western/ecs
Computer Science,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/tad
Computer Science (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/orc
Computer Science (BA in combination),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uac
Computer Science (BA in combination),Wilfrid Laurier University – Milton Campus,https://www.ouinfo.ca/programs/laurier-Milton/ucq
Computer Science (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uag
Computer Science (BA),York University,https://www.ouinfo.ca/programs/york/ypk
Computer Science (BCOSC 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jia
Computer Science (BCOSC 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jea
Computer Science (BSc 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jfb
Computer Science (BSc 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jgb
Computer Science (BSc),Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rcz
Computer Science (BSc),York University,https://www.ouinfo.ca/programs/york/ysg
Computer Science (BSc),Wilfrid Laurier University – Milton Campus,https://www.ouinfo.ca/programs/laurier-Milton/ucn
Computer Science (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ufa
Computer Science (BSc),Trent University,https://www.ouinfo.ca/programs/trent/rsc
Computer Science (Brampton) (BCOSC 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jfe
Computer Science (Brampton) (BCOSC 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jfc
Computer Science (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dcd
Computer Science (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sab
Computer Science (Regular/Co-op),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wcs
Computer Science (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gct
Computer Science (co-op available) (Thunder Bay and Lakehead/Georgian),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ag
Computer Science (iBA),York University,https://www.ouinfo.ca/programs/york/ypf
Computer Science (iBSc),York University,https://www.ouinfo.ca/programs/york/ysy
Computer Science (regular and co-op),University of Toronto Scarborough,https://www.ouinfo.ca/programs/toronto-scarborough/txc
Computer Science Co-op I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mcc
Computer Science I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mc
Computer Science and Forensics,Trent University,https://www.ouinfo.ca/programs/trent/rzn
Computer Science and Mathematics (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ora
Computer Science and Mathematics Co-op Only,Brock University,https://www.ouinfo.ca/programs/brock/bhg
Computer Science and Physics,Trent University,https://www.ouinfo.ca/programs/trent/rcy
Computer Science and Physics (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uwc
Computer Science and Psychology (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uft
Computer Science for Software Development (BASc),York University – Markham Campus,https://www.ouinfo.ca/programs/york-markham/ymf
Computer Science – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rzk
Computer Science – Computer Games Technology (BCOSC 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jff
Computer Science – Computer Games Technology/Creative Arts (BCOSC 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jfg
Computer Science – Game Design,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lks
Computer Science – Honours (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/cod
"Computer Science, Mathematics and Statistics",University of Toronto Mississauga,https://www.ouinfo.ca/programs/toronto-mississauga/tmz
Computer Security (BA),York University,https://www.ouinfo.ca/programs/york/ypx
Computer Security (BSc),York University,https://www.ouinfo.ca/programs/york/ypr
Computing,Queen's University,https://www.ouinfo.ca/programs/queens/qd
Computing Systems (BA),Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rcw
Computing Systems and Business,Trent University,https://www.ouinfo.ca/programs/trent/rjo
Computing Systems and Economics,Trent University,https://www.ouinfo.ca/programs/trent/ryb
Computing Systems and Media Studies,Trent University,https://www.ouinfo.ca/programs/trent/rq
Computing and Business,Brock University,https://www.ouinfo.ca/programs/brock/bcb
Computing and Financial Management (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wcf
Conception multidisciplinaire - apprentissage expérientiel (3 ans),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocl
Concurrent BA Child and Youth Studies Honours/BEd – Primary/Junior,Brock University,https://www.ouinfo.ca/programs/brock/bdp
Concurrent BA Honours/BEd – Intermediate/Senior,Brock University,https://www.ouinfo.ca/programs/brock/bai
Concurrent BA Integrated Studies Honours/BEd - Junior/Intermediate,Brock University,https://www.ouinfo.ca/programs/brock/baj
Concurrent BA in Educational Studies Honours/BEd Junior/​Intermediate,Brock University,https://www.ouinfo.ca/programs/brock/bpe
Concurrent BA in Interactive Arts and Science/BEd - Junior/Intermediate,Brock University,https://www.ouinfo.ca/programs/brock/bia
Concurrent BPhEd Honours/BEd - Junior/Intermediate,Brock University,https://www.ouinfo.ca/programs/brock/bpj
Concurrent BPhEd Honours/BEd – Intermediate/Senior,Brock University,https://www.ouinfo.ca/programs/brock/bpi
Concurrent BRLS Honours in Recreation and Leisure Studies/BEd - Junior/​Intermediate,Brock University,https://www.ouinfo.ca/programs/brock/brl
Concurrent BSc Honours/BEd – Intermediate/Senior,Brock University,https://www.ouinfo.ca/programs/brock/bii
Concurrent BSc Integrated Studies/BEd - Junior/Intermediate,Brock University,https://www.ouinfo.ca/programs/brock/bij
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Intermediate/Senior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/peg
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Junior/Intermediate,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pef
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Primary/Junior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/ped
Concurrent Bachelor of Arts/Bachelor of Education Intermediate/Senior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/peb
Concurrent Bachelor of Arts/Bachelor of Education Junior/Intermediate,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pea
Concurrent Bachelor of Arts/Bachelor of Education Primary/Junior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pe
Concurrent Bachelor of Business Administration/Bachelor of Education Intermediate/Senior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pen
Concurrent Bachelor of Business Administration/Bachelor of Education Junior/Intermediate,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pem
Concurrent Bachelor of Business Administration/Bachelor of Education Primary/Junior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pel
Concurrent Bachelor of Education (English),York University – Glendon Campus,https://www.ouinfo.ca/programs/york-glendon/yyi
Concurrent Bachelor of Education (French),York University – Glendon Campus,https://www.ouinfo.ca/programs/york-glendon/ygj
Concurrent Bachelor of Education: Environmental and Urban Change (BEd),York University,https://www.ouinfo.ca/programs/york/yet
Concurrent Bachelor of Fine Arts/Bachelor of Education Intermediate/Senior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pek
Concurrent Bachelor of Fine Arts/Bachelor of Education Junior/Intermediate,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pei
Concurrent Bachelor of Fine Arts/Bachelor of Education Primary/Junior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/peh
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Intermediate/Senior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/per
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Junior/Intermediate,Nipissing University,https://www.ouinfo.ca/programs/nipissing/peq
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Primary/Junior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/peo
Concurrent Bachelor of Science/Bachelor of Education Intermediate/Senior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/peu
Concurrent Bachelor of Science/Bachelor of Education Junior/Intermediate,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pet
Concurrent Bachelor of Science/Bachelor of Education Primary/Junior,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pes
Concurrent Education (Intermediate/Senior – Teach Grades 7 to 12) (Thunder Bay),Lakehead University,https://www.ouinfo.ca/programs/lakehead/al
Concurrent Education (Primary/Junior – Teach Kindergarten to Grades 6) (Thunder Bay and Orillia),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ak
Concurrent Education with Arts – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lak
Concurrent Education with Health Promotion – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lhk
Concurrent Education with Indigenous Social Work – Junior/​Interm­ediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/ljd
Concurrent Education with Kinesiology (B.Sc.) – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/ljc
Concurrent Education with Kinesiology (BPHE) – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lsg
Concurrent Education with Outdoor Adventure Leadership – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/las
Concurrent Education with Science – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lrk
Concurrent Education with Social Work - Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/ljb
Concurrent Education with Sport Psychology – Junior/Intermediate,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lso
Concurrent Education/Arts,Queen's University,https://www.ouinfo.ca/programs/queens/qb
Concurrent Education/Arts - French,Queen's University,https://www.ouinfo.ca/programs/queens/qbf
Concurrent Education/Kinesiology,Queen's University,https://www.ouinfo.ca/programs/queens/qkf
Concurrent Education/Music,Queen's University,https://www.ouinfo.ca/programs/queens/qmm
Concurrent Education/Science,Queen's University,https://www.ouinfo.ca/programs/queens/qf
"Concurrent Education: Arts, Media, Performance & Design (BEd)",York University,https://www.ouinfo.ca/programs/york/yq
Concurrent Education: Educational Studies (BEd),York University,https://www.ouinfo.ca/programs/york/yew
Concurrent Education: Health (BEd),York University,https://www.ouinfo.ca/programs/york/yhr
Concurrent Education: Lassonde (BEd),York University,https://www.ouinfo.ca/programs/york/yla
Concurrent Education: Liberal Arts & Professional Studies (BEd),York University,https://www.ouinfo.ca/programs/york/yfk
Concurrent Education: Science (BEd),York University,https://www.ouinfo.ca/programs/york/ypc
"Concurrent General BA (Communication, Media and Film)/BEd",University of Windsor,https://www.ouinfo.ca/programs/windsor/nkl
Concurrent General BA (Drama)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nx
Concurrent General BA (English)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxa
Concurrent General BA (French Studies)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxd
Concurrent General BA (History)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxe
Concurrent General BA (Political Science)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxg
Concurrent General BA (Psychology)/BEd/Diploma in ECE,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxb
Concurrent General BA (Visual Art)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxc
Concurrent General BMath/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nsm
Concurrent General BSc (General Science)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nse
Concurrent Honours BMus (Music Education)/BEd,University of Windsor,https://www.ouinfo.ca/programs/windsor/nxm
"Conflict Resolution (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University,https://www.ouinfo.ca/programs/ottawa-saint-paul/opo
Conflict Studies (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University,https://www.ouinfo.ca/programs/ottawa-saint-paul/oaw
Conflict Studies and Human Rights (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxc
Conservation Biology,Trent University,https://www.ouinfo.ca/programs/trent/rzl
Conservation Biology – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rzm
Creative Industries,Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/scd
Creative Technologies (BFA),York University – Markham Campus,https://www.ouinfo.ca/programs/york-markham/yme
Creative Writing,OCAD University,https://www.ouinfo.ca/programs/ocad-u/hwc
"Creativity, Digital Arts and Entertainment Industries",Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dah
"Creativity, Digital Arts and Entertainment Industries (Co-op)",Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dld
Criminal Justice,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dau
Criminal Justice,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lcj
Criminal Justice (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dlu
Criminal Justice and Public Policy (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gcj
Criminology,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lcq
Criminology,Trent University,https://www.ouinfo.ca/programs/trent/rag
Criminology,University of Windsor,https://www.ouinfo.ca/programs/windsor/ncr
Criminology,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rap
Criminology (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxd
Criminology (BA),Wilfrid Laurier University – Brantford Campus,https://www.ouinfo.ca/programs/laurier-brantford/uci
Criminology (BA),York University,https://www.ouinfo.ca/programs/york/yfz
Criminology (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sci
Criminology (Orillia),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ah
Criminology and Feminist and Gender Studies (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxu
Criminology and Justice,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/daj
Criminology and Justice (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dle
Criminology and Policing (BA),Wilfrid Laurier University – Brantford Campus,https://www.ouinfo.ca/programs/laurier-brantford/uop
Critical Criminology,Brock University,https://www.ouinfo.ca/programs/brock/bbc
Criticism & Curatorial Practice,OCAD University,https://www.ouinfo.ca/programs/ocad-u/hcp
Cultural Studies,Trent University,https://www.ouinfo.ca/programs/trent/rcs
Cultural Studies (Honours Arts) – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rat
Cybersecurity,Carleton University,https://www.ouinfo.ca/programs/carleton/coa
Dance (BFA),York University,https://www.ouinfo.ca/programs/york/yb
Data Science,Carleton University,https://www.ouinfo.ca/programs/carleton/csd
Data Science,Trent University,https://www.ouinfo.ca/programs/trent/rdt
Data Science,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsm
Data Science (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/owi
Data Science (BA),York University,https://www.ouinfo.ca/programs/york/yyw
Data Science (BSc),York University,https://www.ouinfo.ca/programs/york/yyy
Data Science (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uds
Data Science (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dmo
Data Science and Analytics – Computational Data Services,Brock University,https://www.ouinfo.ca/programs/brock/bsa
Data Science and Analytics – Financial Analytics (BSc),Brock University,https://www.ouinfo.ca/programs/brock/bfa
Design (BDes),York University,https://www.ouinfo.ca/programs/york/yd
Digital Futures,OCAD University,https://www.ouinfo.ca/programs/ocad-u/hdf
Digital Journalism (Joint program with Algonquin College) (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oda
Digital Media,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dso
"Digital Media (BA) - School of the Arts, Media, Performance & Design",York University,https://www.ouinfo.ca/programs/york/yfa
Digital Media (BA) – Lassonde School of Engineering,York University,https://www.ouinfo.ca/programs/york/yra
Digital Media (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/doc
Digital Technologies (BASc),York University – Markham Campus,https://www.ouinfo.ca/programs/york-markham/yta
Disability Studies,Western University – King's University College,https://www.ouinfo.ca/programs/western-kings/ekb
Disability Studies,University of Windsor,https://www.ouinfo.ca/programs/windsor/nad
Disaster & Emergency Management (BDEM),York University,https://www.ouinfo.ca/programs/york/ypj
Double Degree: Management & Finance (BBA) and Statistics – Quantitative Finance (BSc) (regular and co-op),University of Toronto Scarborough,https://www.ouinfo.ca/programs/toronto-scarborough/txq
Drama,University of Windsor,https://www.ouinfo.ca/programs/windsor/nds
Dramatic Arts,Brock University,https://www.ouinfo.ca/programs/brock/bt
Drawing & Painting,OCAD University,https://www.ouinfo.ca/programs/ocad-u/hdp
Early Childhood Studies,Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/seh
Earth & Atmospheric Science (BSc),York University,https://www.ouinfo.ca/programs/york/yse
Earth Science (includes Environmental Science) (Thunder Bay),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ai
Earth Sciences,Brock University,https://www.ouinfo.ca/programs/brock/bx
Earth Sciences,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lvi
Earth and Planetary Science Communication,Brock University,https://www.ouinfo.ca/programs/brock/bep
East Asian Studies (BA),York University,https://www.ouinfo.ca/programs/york/ybe
Economics,University of Windsor,https://www.ouinfo.ca/programs/windsor/nh
Economics,Brock University,https://www.ouinfo.ca/programs/brock/bec
Economics,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lms
Economics,Carleton University,https://www.ouinfo.ca/programs/carleton/cbe
Economics (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxe
Economics (BA 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jag
Economics (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ud
Economics (BA),Trent University,https://www.ouinfo.ca/programs/trent/rec
Economics (BA),York University,https://www.ouinfo.ca/programs/york/yfe
Economics (BSc),Trent University,https://www.ouinfo.ca/programs/trent/rby
Economics (Courses in English or French as per student's preference),York University – Glendon Campus,https://www.ouinfo.ca/programs/york-glendon/ygk
Economics (Honours Arts) – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rep
Economics (Thunder Bay),Lakehead University,https://www.ouinfo.ca/programs/lakehead/aj
Economics I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mle
Economics and Accounting (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uda
Economics and Business,Trent University,https://www.ouinfo.ca/programs/trent/rjb
Economics and Data Analytics (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ued
Economics and Financial Management (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/udf
Economics and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxv
Economics and Public Policy (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxf
Éducation concurrent avec Service social – moyen/​intermédiaire,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lcm
Educational Studies,Brock University,https://www.ouinfo.ca/programs/brock/bes
Educational Studies (BA),York University,https://www.ouinfo.ca/programs/york/yer
Educational Studies (BA),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dst
Educational Studies - Adult Learning with Technology,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dep
Educational Studies - Digital Technologies,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dek
Educational Studies - Early Childhood Studies,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/deo
"Educational Studies - Equity, Diversity and Inclusion",Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dej
Educational Studies - Special Education,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/des
Electrical Engineering,University of Windsor,https://www.ouinfo.ca/programs/windsor/nen
Electrical Engineering,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/te
Electrical Engineering,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dee
Electrical Engineering (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oie
Electrical Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sej
Electrical Engineering (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wwf
Electrical Engineering (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dce
Electrical Engineering and Computing Technology (5-year double degree),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oic
Energy Engineering,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dhu
Energy Engineering (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dhu
Engineering,Royal Military College of Canada,https://www.ouinfo.ca/programs/rmc/xee
Engineering,Western University,https://www.ouinfo.ca/programs/western/ee
Engineering (BEng),York University,https://www.ouinfo.ca/programs/york/yt
"Engineering (Chemical, Civil, Electrical, Mechanical, Mechatronics, and Software) (co-op available) (6 disciplines at Thunder Bay, 1 at Lakehead/Georgian)",Lakehead University,https://www.ouinfo.ca/programs/lakehead/am
Engineering Co-op I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mec
Engineering I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/me
Engineering Science,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/tk
Engineering Systems and Computing (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gek
Engineering – Aerospace Engineering (co-op option available),Carleton University,https://www.ouinfo.ca/programs/carleton/cea
Engineering – Architectural Conservation and Sustainability Engineering,Carleton University,https://www.ouinfo.ca/programs/carleton/cex
